HR info ID,Preferred Term,ACRONYM,homepage,OrgTypeID - OrgTypePreferredTerm,FinancialTrackingService ID,Edit Status,IsReplacedBy,Notes
17287,FHA Development Foundation,,,441 - National NGO,,,,
56686,FHI360 Nepal,,,437 - International NGO,,,,
56687,Fida International Nepal,,,437 - International NGO,,,,
63116,Field Medical Foundation (Yemen),FMF,http://fmfyemen.org/en/,441 - National NGO,,,,
61221,Fiji Red Cross,,http://www.redcross.com.fj/,445 - Red Cross / Red Crescent,,,,
17288,Filipino TV,,,439 - Media,,,,
54751,Financing Services Program-ZABIDA,FSP,,441 - National NGO,,,,
17289,Finn Church Aid,FCA,http://www.kirkonulkomaanapu.fi/,446 - Religious,,,,
56688,Finnish Evangelical Lutheran Mission,FELM,,437 - International NGO,,,,
61222,Finnish Red Cross,,http://www.redcross.fi/,445 - Red Cross / Red Crescent,,,,
61608,Firefighters without Borders Foundation,FwB,http://www.fireifighterswithoutborders.nl/,437 - International NGO,,,,
61811,First Reaponse Initiative of Pakistan,FRIP,,438 - International Organization,,,,
17290,First Response Radio,FRR,http://firstresponseradio.org/,437 - International NGO,,,,
54832,Fit for School,Fit for School,,441 - National NGO,,,,
62851,Floresta-Ayiti Pou Pwoteksyon Anviwonman,FLORESTA,http://www.plantwithpurpose.org/,441 - National NGO,,,,
62852,Floresta-Ayiti Pou Pwoteksyon Anviwonman,FLORESTA,http://www.plantwithpurpose.org/,441 - National NGO,,,,
62853,Floresta-Ayiti Pou Pwoteksyon Anviwonman,FLORESTA,http://www.plantwithpurpose.org/,441 - National NGO,,,,
60801,Flowminder,Flowminder,http://www.flowminder.org/,431 - Academic / Research,,,,
62359,Focus Humanitarian Assistance,FOCUS,,437 - International NGO,,,,
46641,Fondation de recherches et d'actions pour le developpement (Central African Republic),ONG-FRAD,,441 - National NGO,,,,
62841,Fondation fideh,FF,,441 - National NGO,,,,
49454,Fondation Merieux,,http://www.fondation-merieux.org,437 - International NGO,,,,
62885,Fondation Nouvelle Grand'Anse,FNGA,,441 - National NGO,,,,
63027,Fondation pour le Développement Économique et Social,FODES-5,http://www.fodes5.org/,441 - National NGO,,,,
